iter	Logloss
0	0.6918814081
1	0.690840507
2	0.6897026117
3	0.6884705109
4	0.6870761155
5	0.6857025483
6	0.6842736016
7	0.6828868907
8	0.6816797708
9	0.6804975643
10	0.6791260391
11	0.6779684843
12	0.6766166891
13	0.6754282861
14	0.6741983791
15	0.6729007822
16	0.6716292792
17	0.6703425293
18	0.6690236877
19	0.6677645482
20	0.6666551388
21	0.6654690498
22	0.6642120378
23	0.6630108977
24	0.6617607307
25	0.6605178184
26	0.6593314402
27	0.6580765253
28	0.6568705524
29	0.65563781
30	0.6545855741
31	0.6534502196
32	0.6522304832
33	0.6510527317
34	0.6498740171
35	0.6487289919
36	0.6476076381
37	0.6465457069
38	0.6454200723
39	0.6444149336
40	0.6432578934
41	0.6420785558
42	0.6409526427
43	0.6398985256
44	0.6388816175
45	0.6377592764
46	0.6367945143
47	0.6357120533
48	0.6346070531
49	0.6335483783
50	0.6324326154
51	0.6313477793
52	0.6301775094
53	0.6290929045
54	0.6280966511
55	0.6270330827
56	0.6259805865
57	0.6249432529
58	0.6238605846
59	0.622784124
60	0.6217837079
61	0.6207463633
62	0.6196695235
63	0.6187882567
64	0.6177671892
65	0.6167429905
66	0.6157974748
67	0.6148217417
68	0.6138769459
69	0.6128571589
70	0.6118727383
71	0.6108674375
72	0.6098538241
73	0.6088891645
74	0.6080647966
75	0.607084209
76	0.60625347
77	0.6053274674
78	0.6043820753
79	0.6034466208
80	0.6025776078
81	0.6016463101
82	0.6007209671
83	0.5997870459
84	0.5989180417
85	0.5980153319
86	0.5970907434
87	0.5961331384
88	0.5952004098
89	0.5942806053
90	0.5934168346
91	0.5925393007
92	0.5916896836
93	0.5908236292
94	0.5899148014
95	0.5891121966
96	0.588193057
97	0.5873158219
98	0.5864568805
99	0.5855847894
100	0.584802095
101	0.5839590288
102	0.5831206374
103	0.5822920884
104	0.5815204207
105	0.5806867098
106	0.5798375625
107	0.5790789517
108	0.5782556618
109	0.5774380923
110	0.5765795165
111	0.5758328799
112	0.5750356805
113	0.5742066365
114	0.5733900974
115	0.57273743
116	0.5720002512
117	0.5712576508
118	0.5705552571
119	0.5698537958
120	0.5690928339
121	0.5683508603
122	0.5676817199
123	0.5669343012
124	0.5663297216
125	0.5655251815
126	0.5647935917
127	0.564073477
128	0.5633849539
129	0.5626524915
